RestaurantID,Cuisine,NumberOfReviews,Rating
wo7-TKh4B37RTBjPNtkp7w,Chinese,31,3.5
96D85AGxI37JNnveZbC6CA,Chinese,40,4
3Qpi419I29t3sCHMzC_h-g,Chinese,72,3.5
mL43TXtc0WlFCfhlN0ziHQ,Chinese,2,3
BcOuqkUniZJG5NLpdzeOYQ,Chinese,51,3.5
bpeeh-kkay0ZE7mGXsCVKQ,Chinese,112,4
inp9N7bo9zqQSa8h8UBhqg,Chinese,185,2.5
bT4CDzyhV-frXV6ijvXnvw,Chinese,455,4
hdiQrGDT8enOzpxaipBzNA,Chinese,102,3
IQ91FltwJmIPhS6fKKf2pw,Chinese,48,2.5
bacGm8cL-vUPHdR18_M7bw,Chinese,74,3.5
YCen62jqSWhPOAorQjSZdQ,Chinese,80,3.5
Wezt_3dALzHmfXjHOPG4GQ,Chinese,20,3.5
PGeL1b4xNJggpZsHEGoxjg,Chinese,324,3
d_TC6Om2EBTzHVm_lCgNtg,Chinese,1090,3.5
lpLd3AFaMOV7LfPtvUiq8A,Chinese,622,3
KavW0SjAiElP2ajaexNQDQ,Chinese,40,4
VDbMrjBq-XAKZTS_cgB9_A,Chinese,51,3.5
Vzx-7-jSEBz2g8NuGVhHvQ,Chinese,549,3.5
NN3mOWF5e_pnR1ArqM2bHQ,Chinese,1619,4
6OWMji5GiqRlRPZSb1lJ4A,Chinese,186,4
D-PPbfPcCNyKs7w0J4tMvQ,Chinese,70,3
agCuWjaUJ8xBO_PDDQRiGw,Chinese,89,4
tguMh2GgOcU9fu6WN3dqpw,Chinese,819,4
xOL2SC34gdhKHSbyaDz9BA,Chinese,133,3
zb78ua-FlfFRj8v082giBw,Chinese,93,3.5
4zuvAX0g_h_vBgE34oALhg,Chinese,26,4
1YGpTYD8xIuUpK_beMhzSw,Chinese,87,3.5
TadRviRC9Z1WhgSsGi3Yow,Chinese,75,3.5
yVI01P3ApyLlkqtOfgki7A,Chinese,14,3
5tWpAFpF618KJxBhHJzF7g,Chinese,17,4
43r4ynjeIZeQI1w7SWARuQ,Chinese,363,4
L37A2JWXfwR_PgKColA8xA,Chinese,1249,3.5
YIwYw_A_LRwK66HBTzogYQ,Chinese,70,4
iSjPBJRiWqrgxW7ZM3CGig,Chinese,155,4
y8Z9Tos6qtDVd0X0QVm70g,Chinese,32,2.5
5dzFMuClH9CDvfaUuIKWeg,Chinese,38,3
9j5r0NlYKRkBTVvnAcUcwg,Chinese,58,3
Pm9g4v6bpq9_OEigK0jHYA,Chinese,7,3.5
