RestaurantID,Cuisine,Name,NumberOfReviews,Rating,Location,Coordinates
mDajKjZjRN4tVGEJFOgF9w,Chinese,Wok 88,217,3.5,"{'address1': '1570 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10128', 'country': 'US', 'state': 'NY', 'display_address': ['1570 3rd Ave', 'New York, NY 10128']}","{'latitude': 40.78042, 'longitude': -73.95322}"
nI1UYDCYUTt23TpGxqnLKg,Chinese,Buddakan,3376,4,"{'address1': '75 9th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['75 9th Ave', 'New York, NY 10011']}","{'latitude': 40.7422762672197, 'longitude': -74.0048000961542}"
UNyGz06_7RendbswIyNYtA,Chinese,Shu Han Ju,124,3.5,"{'address1': '465 6th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['465 6th Ave', 'New York, NY 10011']}","{'latitude': 40.73558, 'longitude': -73.99843}"
IqbHVeqgewmbeSMXBhbqSw,Chinese,Hunan Manor,214,3.5,"{'address1': '339 Lexington Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['339 Lexington Ave', 'New York, NY 10016']}","{'latitude': 40.74965, 'longitude': -73.97707}"
6dVXDdgzDEVt4DvHzpWo9w,Chinese,Tang Pavilion,273,3.5,"{'address1': '65 W 55th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['65 W 55th St', 'New York, NY 10019']}","{'latitude': 40.762849, 'longitude': -73.977189}"
x64xHVZoQj1ZOjzPqVprkw,Chinese,Little Tong Noodle Shop,178,4,"{'address1': '177 1st Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['177 1st Ave', 'New York, NY 10003']}","{'latitude': 40.72939, 'longitude': -73.98434}"
sxv1oJxG8uu6u4tjKHiJMA,Chinese,Bugis Street Brasserie and Bar,25,4.5,"{'address1': '145 W 44th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['145 W 44th St', 'New York, NY 10036']}","{'latitude': 40.7567689, 'longitude': -73.9843329}"
s5JNxy0eAFgxS2Poi73ODw,Chinese,Mala Project,52,3.5,"{'address1': '41 W 46th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['41 W 46th St', 'New York, NY 10036']}","{'latitude': 40.75693, 'longitude': -73.98056}"
C7CFAdrczXxNhnN-MNJqmw,Chinese,Niu Noodle House,580,4,"{'address1': '15 Greenwich Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['15 Greenwich Ave', 'New York, NY 10014']}","{'latitude': 40.734352, 'longitude': -74.000082}"
bnDfFdiCcPzhuNWUJORvLQ,Chinese,Noodle Village,776,4,"{'address1': '13 Mott St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['13 Mott St', 'New York, NY 10013']}","{'latitude': 40.714167, 'longitude': -73.998803}"
